Year,Region,State / County Name,All Ages in Poverty Count,All Ages in Poverty Percent,Median Household Income in Dollars
2017,Northeast,Alachua County (FL),53816,21.2,45230
2016,Northeast,Alachua County (FL),55990,22.3,45294
2015,Northeast,Alachua County (FL),52258,21.1,47023
2014,Northeast,Alachua County (FL),52756,21.6,44325
2013,Northeast,Alachua County (FL),62056,25.7,39614
2012,Northeast,Alachua County (FL),63656,26.6,41297
2011,Northeast,Alachua County (FL),55679,23.5,39825
2010,Northeast,Alachua County (FL),59315,25.3,40656
2009,Northeast,Alachua County (FL),53221,23,38597
2008,Northeast,Alachua County (FL),45946,20,42980
2007,Northeast,Alachua County (FL),51984,22.8,38075
2006,Northeast,Alachua County (FL),46761,21.8,37046
2005,Northeast,Alachua County (FL),45649,21.8,35474
2004,Northeast,Alachua County (FL),30836,14.5,34696
2003,Northeast,Alachua County (FL),34166,16.2,33176
2002,Northeast,Alachua County (FL),32170,15.1,32153
2001,Northeast,Alachua County (FL),31706,15.1,32061
2000,Northeast,Alachua County (FL),30721,14.7,32724
1999,Northeast,Alachua County (FL),31993,15.4,31889
1998,Northeast,Alachua County (FL),32273,17.1,33585
1997,Northeast,Alachua County (FL),34670,18.3,31382
1996,Northeast,Alachua County (FL),0,0,0
1995,Northeast,Alachua County (FL),36242,19.2,27860
1993,Northeast,Alachua County (FL),37326,20.2,26597
1989,Northeast,Alachua County (FL),31212,18,23673
2017,Northeast,Baker County (FL),3900,15.3,51856
2016,Northeast,Baker County (FL),4329,17.2,51904
2015,Northeast,Baker County (FL),4189,16.8,50883
2014,Northeast,Baker County (FL),4826,19.6,47121
2013,Northeast,Baker County (FL),4621,18.8,46505
2012,Northeast,Baker County (FL),4627,18.8,45721
2011,Northeast,Baker County (FL),4602,18.6,42564
2010,Northeast,Baker County (FL),4318,17.5,45802
2009,Northeast,Baker County (FL),4098,17.2,46513
2008,Northeast,Baker County (FL),3628,15.3,48443
2007,Northeast,Baker County (FL),3350,14.4,45783
2006,Northeast,Baker County (FL),3367,14.7,44860
2005,Northeast,Baker County (FL),3204,14.5,43011
2004,Northeast,Baker County (FL),2839,12.7,41589
2003,Northeast,Baker County (FL),2981,13.7,39281
2002,Northeast,Baker County (FL),2824,13.3,38438
2001,Northeast,Baker County (FL),2873,13.7,38049
2000,Northeast,Baker County (FL),2782,13.6,39070
1999,Northeast,Baker County (FL),2835,14,36321
1998,Northeast,Baker County (FL),3081,15.9,33966
1997,Northeast,Baker County (FL),3255,16.9,32377
1996,Northeast,Baker County (FL),0,0,0
1995,Northeast,Baker County (FL),3415,18.1,31198
1993,Northeast,Baker County (FL),3561,19.4,27614
1989,Northeast,Baker County (FL),2497,14.8,25409
2017,Northwest,Bay County (FL),26663,14.9,51633
2016,Northwest,Bay County (FL),26845,14.9,48843
2015,Northwest,Bay County (FL),29301,16.5,47745
2014,Northwest,Bay County (FL),27165,15.6,44800
2013,Northwest,Bay County (FL),30719,18,45249
2012,Northwest,Bay County (FL),27752,16.5,45259
2011,Northwest,Bay County (FL),23927,14.4,44204
2010,Northwest,Bay County (FL),24862,15.1,44364
2009,Northwest,Bay County (FL),23220,14.4,43930
2008,Northwest,Bay County (FL),19051,11.9,45655
2007,Northwest,Bay County (FL),19151,12,47495
2006,Northwest,Bay County (FL),22068,13.8,44058
2005,Northwest,Bay County (FL),21549,13.7,40540
2004,Northwest,Bay County (FL),18777,11.9,38972
2003,Northwest,Bay County (FL),19810,12.8,37081
2002,Northwest,Bay County (FL),18790,12.4,35718
2001,Northwest,Bay County (FL),19230,12.9,35111
2000,Northwest,Bay County (FL),18576,12.7,35547
1999,Northwest,Bay County (FL),19716,13.6,34125
1998,Northwest,Bay County (FL),21429,14.6,33070
1997,Northwest,Bay County (FL),21975,15.1,32047
1996,Northwest,Bay County (FL),0,0,0
1995,Northwest,Bay County (FL),22048,15.3,29600
1993,Northwest,Bay County (FL),22820,16.3,26846
1989,Northwest,Bay County (FL),18173,14.4,23194
2017,Northeast,Bradford County (FL),4533,19.1,44997
2016,Northeast,Bradford County (FL),4392,18.6,43058
2015,Northeast,Bradford County (FL),5013,21.3,40879
2014,Northeast,Bradford County (FL),5287,22.6,39980
2013,Northeast,Bradford County (FL),5126,21.8,40668
2012,Northeast,Bradford County (FL),5471,23.1,38680
2011,Northeast,Bradford County (FL),5479,23.1,39271
2010,Northeast,Bradford County (FL),4643,19.4,39454
2009,Northeast,Bradford County (FL),5402,22.5,38360
2008,Northeast,Bradford County (FL),4649,19.3,41154
2007,Northeast,Bradford County (FL),4027,16.9,40542
2006,Northeast,Bradford County (FL),3826,16.3,38060
2005,Northeast,Bradford County (FL),3678,15.9,36699
2004,Northeast,Bradford County (FL),3457,14.8,34104
2003,Northeast,Bradford County (FL),3709,16.2,32598
2002,Northeast,Bradford County (FL),4020,17.8,31626
2001,Northeast,Bradford County (FL),4039,18.2,31917
2000,Northeast,Bradford County (FL),3663,16.5,32889
1999,Northeast,Bradford County (FL),3593,16.3,31380
1998,Northeast,Bradford County (FL),3986,18.7,31413
1997,Northeast,Bradford County (FL),4710,22.2,30033
1996,Northeast,Bradford County (FL),0,0,0
1995,Northeast,Bradford County (FL),4578,22.2,28225
1993,Northeast,Bradford County (FL),4408,21.6,25277
1989,Northeast,Bradford County (FL),4259,21.9,21097
2017,Central,Brevard County (FL),72303,12.4,52596
2016,Central,Brevard County (FL),84028,14.7,51214
2015,Central,Brevard County (FL),75268,13.4,50352
2014,Central,Brevard County (FL),79657,14.5,47973
2013,Central,Brevard County (FL),81663,15,46677
2012,Central,Brevard County (FL),79841,14.8,46332
2011,Central,Brevard County (FL),75869,14.2,46494
2010,Central,Brevard County (FL),72157,13.5,46331
2009,Central,Brevard County (FL),61045,11.6,45683
2008,Central,Brevard County (FL),56466,10.7,49473
2007,Central,Brevard County (FL),45501,8.6,50261
2006,Central,Brevard County (FL),52532,10,46415
2005,Central,Brevard County (FL),52674,10.1,43403
2004,Central,Brevard County (FL),48247,9.2,44248
2003,Central,Brevard County (FL),51408,10.1,42192
2002,Central,Brevard County (FL),48682,9.8,40342
2001,Central,Brevard County (FL),47131,9.7,39862
2000,Central,Brevard County (FL),43944,9.2,40673
1999,Central,Brevard County (FL),45718,9.7,38310
1998,Central,Brevard County (FL),49193,10.5,38249
1997,Central,Brevard County (FL),52556,11.3,36353
1996,Central,Brevard County (FL),0,0,0
1995,Central,Brevard County (FL),51979,11.4,34729
1993,Central,Brevard County (FL),51543,11.6,33284
1989,Central,Brevard County (FL),33833,8.5,29229
2017,Southeast,Broward County (FL),252288,13.1,56702
2016,Southeast,Broward County (FL),256027,13.5,54055
2015,Southeast,Broward County (FL),263607,14,53624
2014,Southeast,Broward County (FL),268418,14.5,51485
2013,Southeast,Broward County (FL),276804,15.2,50343
2012,Southeast,Broward County (FL),274118,15.2,49564
2011,Southeast,Broward County (FL),263435,14.9,48478
2010,Southeast,Broward County (FL),256295,14.7,47917
2009,Southeast,Broward County (FL),227374,13,48772
2008,Southeast,Broward County (FL),208162,12,51594
2007,Southeast,Broward County (FL),197760,11.4,52504
2006,Southeast,Broward County (FL),198652,11.2,50399
2005,Southeast,Broward County (FL),196254,11.2,46618
2004,Southeast,Broward County (FL),203799,11.6,43136
2003,Southeast,Broward County (FL),217958,12.5,42673
2002,Southeast,Broward County (FL),200535,11.7,42497
2001,Southeast,Broward County (FL),185002,11,42311
2000,Southeast,Broward County (FL),162841,9.8,42690
1999,Southeast,Broward County (FL),170962,10.6,40328
1998,Southeast,Broward County (FL),169273,11,40589
1997,Southeast,Broward County (FL),176882,11.7,37832
1996,Southeast,Broward County (FL),0,0,0
1995,Southeast,Broward County (FL),177365,12.2,33895
1993,Southeast,Broward County (FL),171871,12.3,31264
1989,Southeast,Broward County (FL),115581,9.2,27615
2017,Northwest,Calhoun County (FL),2650,21.1,37612
2016,Northwest,Calhoun County (FL),2742,21.9,36708
2015,Northwest,Calhoun County (FL),2781,22.2,36062
2014,Northwest,Calhoun County (FL),2800,22.3,35256
2013,Northwest,Calhoun County (FL),3018,23.8,33977
2012,Northwest,Calhoun County (FL),3050,24,33418
2011,Northwest,Calhoun County (FL),3326,25.9,32395
2010,Northwest,Calhoun County (FL),2802,22.1,34054
2009,Northwest,Calhoun County (FL),2445,20.8,32920
2008,Northwest,Calhoun County (FL),2479,20.9,33613
2007,Northwest,Calhoun County (FL),2761,23.3,28186
2006,Northwest,Calhoun County (FL),2387,20.4,31397
2005,Northwest,Calhoun County (FL),2442,21.2,28450
2004,Northwest,Calhoun County (FL),1997,17.2,27521
2003,Northwest,Calhoun County (FL),2084,18.2,26615
2002,Northwest,Calhoun County (FL),2279,20.2,26172
2001,Northwest,Calhoun County (FL),2419,21.7,26239
2000,Northwest,Calhoun County (FL),2367,21.1,27027
1999,Northwest,Calhoun County (FL),2204,19.4,26311
1998,Northwest,Calhoun County (FL),2384,21.3,26406
1997,Northwest,Calhoun County (FL),2567,23,25362
1996,Northwest,Calhoun County (FL),0,0,0
1995,Northwest,Calhoun County (FL),2564,22.9,24013
1993,Northwest,Calhoun County (FL),2421,22.3,21412
1989,Northwest,Calhoun County (FL),2522,24.9,17648
2017,Southwest,Charlotte County (FL),19300,10.8,51583
2016,Southwest,Charlotte County (FL),22087,12.6,44935
2015,Southwest,Charlotte County (FL),20980,12.4,45495
2014,Southwest,Charlotte County (FL),19704,11.9,43242
2013,Southwest,Charlotte County (FL),23295,14.4,43611
2012,Southwest,Charlotte County (FL),21961,13.8,44454
2011,Southwest,Charlotte County (FL),20821,13.2,41346
2010,Southwest,Charlotte County (FL),21748,13.9,41991
2009,Southwest,Charlotte County (FL),18763,12.2,40874
2008,Southwest,Charlotte County (FL),15200,10.3,46378
2007,Southwest,Charlotte County (FL),13755,9.2,46328
2006,Southwest,Charlotte County (FL),12801,8.5,43746
2005,Southwest,Charlotte County (FL),14831,9.6,39159
2004,Southwest,Charlotte County (FL),12485,8.1,37820
2003,Southwest,Charlotte County (FL),14402,9.3,36514
2002,Southwest,Charlotte County (FL),15279,10.1,35408
2001,Southwest,Charlotte County (FL),14911,10.2,34922
2000,Southwest,Charlotte County (FL),12783,9,36087
1999,Southwest,Charlotte County (FL),12044,8.6,34245
1998,Southwest,Charlotte County (FL),12844,9.5,33253
1997,Southwest,Charlotte County (FL),12782,9.5,32211
1996,Southwest,Charlotte County (FL),0,0,0
1995,Southwest,Charlotte County (FL),12678,9.7,30650
1993,Southwest,Charlotte County (FL),12493,10,26217
1989,Southwest,Charlotte County (FL),7397,6.7,22546
2017,Central,Citrus County (FL),20654,14.4,43147
2016,Central,Citrus County (FL),23472,16.6,40009
2015,Central,Citrus County (FL),24249,17.5,39982
2014,Central,Citrus County (FL),27449,20.1,36383
2013,Central,Citrus County (FL),23632,17.3,39285
2012,Central,Citrus County (FL),25611,18.7,38937
2011,Central,Citrus County (FL),23766,17.3,35041
2010,Central,Citrus County (FL),23869,17.2,36174
2009,Central,Citrus County (FL),21848,15.8,37861
2008,Central,Citrus County (FL),22058,15.8,38476
2007,Central,Citrus County (FL),16661,12.1,36979
2006,Central,Citrus County (FL),16020,11.8,35563
2005,Central,Citrus County (FL),17542,13.3,34171
2004,Central,Citrus County (FL),14808,11.2,33576
2003,Central,Citrus County (FL),15989,12.4,31932
2002,Central,Citrus County (FL),16616,13.3,30657
2001,Central,Citrus County (FL),16285,13.4,30253
2000,Central,Citrus County (FL),14709,12.3,31358
1999,Central,Citrus County (FL),14398,12.3,29746
1998,Central,Citrus County (FL),15799,13.6,28222
1997,Central,Citrus County (FL),16523,14.5,26883
1996,Central,Citrus County (FL),0,0,0
1995,Central,Citrus County (FL),16934,15.3,25402
1993,Central,Citrus County (FL),16217,15.5,21470
1989,Central,Citrus County (FL),11540,12.3,18192
2017,Northeast,Clay County (FL),20889,9.9,65375
2016,Northeast,Clay County (FL),19785,9.6,57476
2015,Northeast,Clay County (FL),23388,11.6,59244
2014,Northeast,Clay County (FL),21658,10.9,58539
2013,Northeast,Clay County (FL),19259,9.9,57991
2012,Northeast,Clay County (FL),21081,10.9,56359
2011,Northeast,Clay County (FL),20766,10.9,54867
2010,Northeast,Clay County (FL),21453,11.3,57913
2009,Northeast,Clay County (FL),16944,9.2,57858
2008,Northeast,Clay County (FL),15135,8.3,61057
2007,Northeast,Clay County (FL),14398,8,58696
2006,Northeast,Clay County (FL),11996,6.8,59994
2005,Northeast,Clay County (FL),13660,8.1,54277
2004,Northeast,Clay County (FL),12080,7.1,53201
2003,Northeast,Clay County (FL),12023,7.4,51376
2002,Northeast,Clay County (FL),10533,6.7,50173
2001,Northeast,Clay County (FL),10977,7.3,49070
2000,Northeast,Clay County (FL),9925,6.9,48988
1999,Northeast,Clay County (FL),10155,7.3,46181
1998,Northeast,Clay County (FL),10869,7.7,45023
1997,Northeast,Clay County (FL),10656,7.7,42729
1996,Northeast,Clay County (FL),0,0,0
1995,Northeast,Clay County (FL),10168,7.8,41161
1993,Northeast,Clay County (FL),10669,8.8,38130
1989,Northeast,Clay County (FL),6098,5.7,33668
2017,Southwest,Collier County (FL),43075,11.7,66709
2016,Southwest,Collier County (FL),41076,11.4,62397
2015,Southwest,Collier County (FL),48198,13.6,62385
2014,Southwest,Collier County (FL),49211,14.3,58403
2013,Southwest,Collier County (FL),45016,13.4,55584
2012,Southwest,Collier County (FL),46593,14.2,54475
2011,Southwest,Collier County (FL),52583,16.2,51039
2010,Southwest,Collier County (FL),50218,15.7,53341
2009,Southwest,Collier County (FL),39648,12.6,53934
2008,Southwest,Collier County (FL),31866,10.2,61379
2007,Southwest,Collier County (FL),30996,9.9,58519
2006,Southwest,Collier County (FL),30426,9.8,56135
2005,Southwest,Collier County (FL),28896,9.6,52301
2004,Southwest,Collier County (FL),26829,8.8,48812
2003,Southwest,Collier County (FL),28186,9.6,48242
2002,Southwest,Collier County (FL),27168,9.6,47591
2001,Southwest,Collier County (FL),26462,9.7,47204
2000,Southwest,Collier County (FL),23348,8.9,47792
1999,Southwest,Collier County (FL),23252,9.3,45037
1998,Southwest,Collier County (FL),23448,10.3,42732
1997,Southwest,Collier County (FL),22518,11.2,41000
1996,Southwest,Collier County (FL),0,0,0
1995,Southwest,Collier County (FL),22759,12,38303
1993,Southwest,Collier County (FL),23496,13.1,33722
1989,Southwest,Collier County (FL),14891,9.8,30883
2017,Northeast,Columbia County (FL),10720,16.5,42097
2016,Northeast,Columbia County (FL),11449,17.8,41667
2015,Northeast,Columbia County (FL),12413,19.7,43303
2014,Northeast,Columbia County (FL),13604,21.7,38484
2013,Northeast,Columbia County (FL),11780,18.8,41722
2012,Northeast,Columbia County (FL),14714,23.4,37091
2011,Northeast,Columbia County (FL),13644,21.7,36452
2010,Northeast,Columbia County (FL),12253,19.5,34870
2009,Northeast,Columbia County (FL),12354,19.1,36923
2008,Northeast,Columbia County (FL),11615,18,38816
2007,Northeast,Columbia County (FL),8837,13.9,40422
2006,Northeast,Columbia County (FL),11409,18.2,37724
2005,Northeast,Columbia County (FL),11447,19,33383
2004,Northeast,Columbia County (FL),8558,14.1,32455
2003,Northeast,Columbia County (FL),9211,15.7,30815
2002,Northeast,Columbia County (FL),9822,17.2,29711
2001,Northeast,Columbia County (FL),9526,17.2,30151
2000,Northeast,Columbia County (FL),8824,16.2,31293
1999,Northeast,Columbia County (FL),8741,16.2,29820
1998,Northeast,Columbia County (FL),9652,18.5,29565
1997,Northeast,Columbia County (FL),10076,19.7,28521
1996,Northeast,Columbia County (FL),0,0,0
1995,Northeast,Columbia County (FL),10203,20.4,28359
1993,Northeast,Columbia County (FL),9506,20.4,25817
1989,Northeast,Columbia County (FL),7363,17.4,21685
2017,West,DeSoto County (FL),8766,26.1,37342
2016,West,DeSoto County (FL),9323,28.6,34146
2015,West,DeSoto County (FL),9821,30.5,34380
2014,West,DeSoto County (FL),9434,29.7,36945
2013,West,DeSoto County (FL),10572,33.9,33198
2012,West,DeSoto County (FL),9503,30.2,33602
2011,West,DeSoto County (FL),9815,31,32753
2010,West,DeSoto County (FL),10429,32.9,33966
2009,West,DeSoto County (FL),8409,25.6,33791
2008,West,DeSoto County (FL),7095,22.4,37478
2007,West,DeSoto County (FL),6915,21.4,35988
2006,West,DeSoto County (FL),9957,30.3,32754
2005,West,DeSoto County (FL),6848,21.4,34879
2004,West,DeSoto County (FL),5542,16.7,28638
2003,West,DeSoto County (FL),6016,18.4,27784
2002,West,DeSoto County (FL),6758,21.3,27850
2001,West,DeSoto County (FL),6657,21.6,28571
2000,West,DeSoto County (FL),5918,19.4,29950
1999,West,DeSoto County (FL),5566,18.6,28195
1998,West,DeSoto County (FL),5106,22,26960
1997,West,DeSoto County (FL),5427,23.4,25525
1996,West,DeSoto County (FL),0,0,0
1995,West,DeSoto County (FL),6143,24.8,23364
1993,West,DeSoto County (FL),5906,25,20515
1989,West,DeSoto County (FL),4453,20.1,18157
2017,Northeast,Dixie County (FL),3627,24.4,38355
2016,Northeast,Dixie County (FL),3697,25.4,34146
2015,Northeast,Dixie County (FL),4264,29.3,35749
2014,Northeast,Dixie County (FL),3911,27.1,32121
2013,Northeast,Dixie County (FL),3916,27.1,31649
2012,Northeast,Dixie County (FL),3988,27.3,31913
2011,Northeast,Dixie County (FL),3789,25.2,30801
2010,Northeast,Dixie County (FL),3968,26.6,30967
2009,Northeast,Dixie County (FL),3157,23.7,30268
2008,Northeast,Dixie County (FL),3083,22.8,31443
2007,Northeast,Dixie County (FL),2921,21.6,31018
2006,Northeast,Dixie County (FL),3061,22.6,28847
2005,Northeast,Dixie County (FL),3164,24,28251
2004,Northeast,Dixie County (FL),2384,18,26999
2003,Northeast,Dixie County (FL),2456,18.8,25874
2002,Northeast,Dixie County (FL),2716,20.8,26367
2001,Northeast,Dixie County (FL),2859,21.9,25336
2000,Northeast,Dixie County (FL),2708,21.2,26372
1999,Northeast,Dixie County (FL),2544,20,25183
1998,Northeast,Dixie County (FL),2919,23,23852
1997,Northeast,Dixie County (FL),2988,23.9,21982
1996,Northeast,Dixie County (FL),0,0,0
1995,Northeast,Dixie County (FL),3060,25.7,20367
1993,Northeast,Dixie County (FL),2916,25.8,17098
1989,Northeast,Dixie County (FL),2567,25.3,14637
2017,Northeast,Duval County (FL),138069,15.1,52105
2016,Northeast,Duval County (FL),131327,14.5,51948
2015,Northeast,Duval County (FL),142660,16,49565
2014,Northeast,Duval County (FL),159748,18.2,46013
2013,Northeast,Duval County (FL),148217,17.1,47876
2012,Northeast,Duval County (FL),155085,18,43835
2011,Northeast,Duval County (FL),150591,17.7,45995
2010,Northeast,Duval County (FL),140254,16.6,46112
2009,Northeast,Duval County (FL),128651,15.3,47002
2008,Northeast,Duval County (FL),101194,12.1,50660
2007,Northeast,Duval County (FL),103204,12.4,49175
2006,Northeast,Duval County (FL),112231,13.7,45770
2005,Northeast,Duval County (FL),97784,12.1,44694
2004,Northeast,Duval County (FL),95190,11.7,41736
2003,Northeast,Duval County (FL),103046,12.8,40457
2002,Northeast,Duval County (FL),93075,11.6,39965
2001,Northeast,Duval County (FL),88534,11.3,40618
2000,Northeast,Duval County (FL),81570,10.5,41326
1999,Northeast,Duval County (FL),87877,11.5,38719
1998,Northeast,Duval County (FL),94323,12.8,37739
1997,Northeast,Duval County (FL),98139,13.4,35883
1996,Northeast,Duval County (FL),0,0,0
1995,Northeast,Duval County (FL),105120,14.5,33810
1993,Northeast,Duval County (FL),108785,15.4,32128
1989,Northeast,Duval County (FL),89414,13.4,26139
2017,Northwest,Escambia County (FL),48602,16.4,48289
2016,Northwest,Escambia County (FL),45044,15.2,45004
2015,Northwest,Escambia County (FL),44835,15.4,45735
2014,Northwest,Escambia County (FL),44320,15.3,46139
2013,Northwest,Escambia County (FL),50580,17.6,42742
2012,Northwest,Escambia County (FL),50534,17.8,44539
2011,Northwest,Escambia County (FL),52051,18.5,41072
2010,Northwest,Escambia County (FL),53655,19.1,41428
2009,Northwest,Escambia County (FL),53032,18.9,40794
2008,Northwest,Escambia County (FL),44908,16,41690
2007,Northwest,Escambia County (FL),42311,15,41772
2006,Northwest,Escambia County (FL),43487,15.9,41923
2005,Northwest,Escambia County (FL),43483,15.9,39830
2004,Northwest,Escambia County (FL),39036,14.2,36743
2003,Northwest,Escambia County (FL),43153,15.7,35347
2002,Northwest,Escambia County (FL),41984,15.4,34528
2001,Northwest,Escambia County (FL),42846,15.8,34160
2000,Northwest,Escambia County (FL),40144,14.8,34355
1999,Northwest,Escambia County (FL),41433,15.2,32733
1998,Northwest,Escambia County (FL),46163,16.9,31891
1997,Northwest,Escambia County (FL),48916,17.8,31069
1996,Northwest,Escambia County (FL),0,0,0
1995,Northwest,Escambia County (FL),51684,19,29527
1993,Northwest,Escambia County (FL),54027,20.3,27848
1989,Northwest,Escambia County (FL),44698,17.4,23493
2017,Northeast,Flagler County (FL),13137,12,52713
2016,Northeast,Flagler County (FL),11997,11.2,50863
2015,Northeast,Flagler County (FL),12213,11.7,50347
2014,Northeast,Flagler County (FL),11775,11.6,51556
2013,Northeast,Flagler County (FL),14322,14.5,47872
2012,Northeast,Flagler County (FL),14919,15.3,44460
2011,Northeast,Flagler County (FL),14216,14.7,47095
2010,Northeast,Flagler County (FL),14738,15.5,45685
2009,Northeast,Flagler County (FL),10286,11.3,50249
2008,Northeast,Flagler County (FL),8882,9.8,49014
2007,Northeast,Flagler County (FL),8838,10.1,45639
2006,Northeast,Flagler County (FL),6769,8.2,46685
2005,Northeast,Flagler County (FL),7257,9.6,45355
2004,Northeast,Flagler County (FL),5936,7.8,45374
2003,Northeast,Flagler County (FL),5635,8.2,42681
2002,Northeast,Flagler County (FL),5552,9,40310
2001,Northeast,Flagler County (FL),5359,9.4,39132
2000,Northeast,Flagler County (FL),4676,8.8,40435
1999,Northeast,Flagler County (FL),4822,9.7,38038
1998,Northeast,Flagler County (FL),4827,9.8,36072
1997,Northeast,Flagler County (FL),5014,10.5,34675
1996,Northeast,Flagler County (FL),0,0,0
1995,Northeast,Flagler County (FL),4595,10.4,34891
1993,Northeast,Flagler County (FL),4161,10.9,28184
1989,Northeast,Flagler County (FL),2449,8.4,23618
2017,Northwest,Franklin County (FL),2141,21.3,40158
2016,Northwest,Franklin County (FL),2337,23.1,37479
2015,Northwest,Franklin County (FL),2351,23.7,38220
2014,Northwest,Franklin County (FL),2507,25.3,36788
2013,Northwest,Franklin County (FL),2545,25.9,33471
2012,Northwest,Franklin County (FL),2407,24.5,37868
2011,Northwest,Franklin County (FL),2180,22.3,35288
2010,Northwest,Franklin County (FL),2357,24.2,34522
2009,Northwest,Franklin County (FL),2147,23.1,33956
2008,Northwest,Franklin County (FL),2155,23.1,34787
2007,Northwest,Franklin County (FL),1764,18.6,35182
2006,Northwest,Franklin County (FL),1798,18.5,33000
2005,Northwest,Franklin County (FL),1756,18.3,30960
2004,Northwest,Franklin County (FL),1299,13.5,30678
2003,Northwest,Franklin County (FL),1409,14.7,28896
2002,Northwest,Franklin County (FL),1436,15.2,27862
2001,Northwest,Franklin County (FL),1679,17.7,27107
2000,Northwest,Franklin County (FL),1543,16.3,27746
1999,Northwest,Franklin County (FL),1575,16.8,26045
1998,Northwest,Franklin County (FL),1809,18.4,25799
1997,Northwest,Franklin County (FL),1880,19,24088
1996,Northwest,Franklin County (FL),0,0,0
1995,Northwest,Franklin County (FL),2064,20.8,23586
1993,Northwest,Franklin County (FL),2025,21.1,19853
1989,Northwest,Franklin County (FL),2113,23.7,15260
2017,Northwest,Gadsden County (FL),9994,23.1,38084
2016,Northwest,Gadsden County (FL),8906,20.6,40865
2015,Northwest,Gadsden County (FL),10596,24.5,36637
2014,Northwest,Gadsden County (FL),11119,25.6,35849
2013,Northwest,Gadsden County (FL),11060,25.3,34348
2012,Northwest,Gadsden County (FL),11754,26.7,35854
2011,Northwest,Gadsden County (FL),11267,25.2,34154
2010,Northwest,Gadsden County (FL),10678,23.8,35704
2009,Northwest,Gadsden County (FL),11422,26,34570
2008,Northwest,Gadsden County (FL),11681,26.6,34316
2007,Northwest,Gadsden County (FL),11079,25.4,35322
2006,Northwest,Gadsden County (FL),8550,19.7,35136
2005,Northwest,Gadsden County (FL),7605,17.7,33246
2004,Northwest,Gadsden County (FL),6878,15.8,31070
2003,Northwest,Gadsden County (FL),7768,18,29814
2002,Northwest,Gadsden County (FL),7782,18.2,29598
2001,Northwest,Gadsden County (FL),8222,19.3,29630
2000,Northwest,Gadsden County (FL),8015,18.7,30650
1999,Northwest,Gadsden County (FL),8357,19.5,28707
1998,Northwest,Gadsden County (FL),9995,23.9,26355
1997,Northwest,Gadsden County (FL),10793,25.9,24881
1996,Northwest,Gadsden County (FL),0,0,0
1995,Northwest,Gadsden County (FL),12142,28.2,23482
1993,Northwest,Gadsden County (FL),12077,29.2,20710
1989,Northwest,Gadsden County (FL),11839,29.7,17056
2017,Northeast,Gilchrist County (FL),2675,16.1,42880
2016,Northeast,Gilchrist County (FL),2825,17.3,41721
2015,Northeast,Gilchrist County (FL),3102,19.2,39342
2014,Northeast,Gilchrist County (FL),3139,19.8,40788
2013,Northeast,Gilchrist County (FL),3446,21.9,39854
2012,Northeast,Gilchrist County (FL),3446,22,38016
2011,Northeast,Gilchrist County (FL),3078,19.5,38046
2010,Northeast,Gilchrist County (FL),3316,21,38517
2009,Northeast,Gilchrist County (FL),2819,18,37139
2008,Northeast,Gilchrist County (FL),2662,16.8,37120
2007,Northeast,Gilchrist County (FL),2407,15.4,39383
2006,Northeast,Gilchrist County (FL),2725,17.6,36483
2005,Northeast,Gilchrist County (FL),2063,13.7,35286
2004,Northeast,Gilchrist County (FL),1954,13,32644
2003,Northeast,Gilchrist County (FL),2084,14.2,30908
2002,Northeast,Gilchrist County (FL),2382,16.6,30148
2001,Northeast,Gilchrist County (FL),2406,17.5,29889
2000,Northeast,Gilchrist County (FL),2191,16.4,30708
1999,Northeast,Gilchrist County (FL),1962,14.9,29463
1998,Northeast,Gilchrist County (FL),2156,16.7,29197
1997,Northeast,Gilchrist County (FL),2348,18.4,27483
1996,Northeast,Gilchrist County (FL),0,0,0
1995,Northeast,Gilchrist County (FL),2153,18.1,26825
1993,Northeast,Gilchrist County (FL),1938,17.8,23208
1989,Northeast,Gilchrist County (FL),1374,15.5,19150
2017,Southwest,Glades County (FL),2312,18.9,42865
2016,Southwest,Glades County (FL),2672,21.5,39607
2015,Southwest,Glades County (FL),2683,22.1,40215
2014,Southwest,Glades County (FL),2559,21.1,38783
2013,Southwest,Glades County (FL),2848,24.1,39003
2012,Southwest,Glades County (FL),3047,26.3,37004
2011,Southwest,Glades County (FL),2465,22.2,38825
2010,Southwest,Glades County (FL),2383,21,39089
2009,Southwest,Glades County (FL),2131,21.5,34920
2008,Southwest,Glades County (FL),2208,21.8,39251
2007,Southwest,Glades County (FL),1686,16.4,37220
2006,Southwest,Glades County (FL),1641,15.8,36040
2005,Southwest,Glades County (FL),1553,15.2,34415
2004,Southwest,Glades County (FL),1269,12.1,31973
2003,Southwest,Glades County (FL),1357,13.2,31598
2002,Southwest,Glades County (FL),1602,15.5,30954
2001,Southwest,Glades County (FL),1732,17,30479
2000,Southwest,Glades County (FL),1539,15.5,30379
1999,Southwest,Glades County (FL),1440,14.6,28844
1998,Southwest,Glades County (FL),1413,17.7,27747
1997,Southwest,Glades County (FL),1430,18.1,26336
1996,Southwest,Glades County (FL),0,0,0
1995,Southwest,Glades County (FL),1543,17.2,25830
1993,Southwest,Glades County (FL),1367,17.8,22369
1989,Southwest,Glades County (FL),1239,16.3,18259
2017,Northwest,Gulf County (FL),2810,21.6,44135
2016,Northwest,Gulf County (FL),2958,23.5,38381
2015,Northwest,Gulf County (FL),2724,21.9,41320
2014,Northwest,Gulf County (FL),2836,23.1,38419
2013,Northwest,Gulf County (FL),2744,22.4,38880
