"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2012","12","12059","Holmes County (FL)","17,926","4,106","3,239","4,973","3,239 to 4,973","22.9","18.1","27.7","18.1 to 27.7","4,088","1,414","1,106","1,722","1,106 to 1,722","34.6","27.1","42.1","27.1 to 42.1","2,931","983","765","1,201","765 to 1,201","33.5","26.1","40.9","26.1 to 40.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$36,272","$33,188","$39,356","$33,188 to $39,356"
"2011","12","12059","Holmes County (FL)","18,125","4,722","3,791","5,653","3,791 to 5,653","26.1","21.0","31.2","21.0 to 31.2","4,149","1,528","1,199","1,857","1,199 to 1,857","36.8","28.9","44.7","28.9 to 44.7","2,978","1,019","769","1,269","769 to 1,269","34.2","25.8","42.6","25.8 to 42.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$33,211","$29,861","$36,561","$29,861 to $36,561"
"2010","12","12059","Holmes County (FL)","18,106","4,072","3,219","4,925","3,219 to 4,925","22.5","17.8","27.2","17.8 to 27.2","4,150","1,332","996","1,668","996 to 1,668","32.1","24.0","40.2","24.0 to 40.2","2,993","921","692","1,150","692 to 1,150","30.8","23.2","38.4","23.2 to 38.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$33,696","$30,531","$36,861","$30,531 to $36,861"
"2009","12","12059","Holmes County (FL)","17,155","4,115","3,253","4,976","3,253 to 4,976","24.0","19.0","29.0","19.0 to 29.0","4,042","1,359","1,061","1,658","1,061 to 1,658","33.6","26.2","41.0","26.2 to 41.0","2,912","911","697","1,125","697 to 1,125","31.3","23.9","38.6","23.9 to 38.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$31,861","$28,832","$34,890","$28,832 to $34,890"
"2008","12","12059","Holmes County (FL)","17,485","3,678","3,010","4,347","3,010 to 4,347","21.0","17.2","24.9","17.2 to 24.9","3,964","1,146","901","1,391","901 to 1,391","28.9","22.7","35.1","22.7 to 35.1","2,810","774","595","953","595 to 953","27.5","21.2","33.9","21.2 to 33.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$33,251","$29,968","$36,534","$29,968 to $36,534"
"2007","12","12059","Holmes County (FL)","17,461","3,452","2,731","4,173","2,731 to 4,173","19.8","15.6","23.9","15.6 to 23.9","3,948","1,119","841","1,397","841 to 1,397","28.3","21.3","35.4","21.3 to 35.4","2,800","750","556","944","556 to 944","26.8","19.9","33.7","19.9 to 33.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$33,321","$30,493","$36,150","$30,493 to $36,150"
"2006","12","12059","Holmes County (FL)","17,492","3,656","2,893","4,419","2,893 to 4,419","20.9","16.5","25.3","16.5 to 25.3","3,969","1,202","949","1,455","949 to 1,455","30.3","23.9","36.7","23.9 to 36.7","2,835","819","632","1,006","632 to 1,006","28.9","22.3","35.5","22.3 to 35.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$30,794","$28,289","$33,298","$28,289 to $33,298"
"2005","12","12059","Holmes County (FL)","17,407","3,815","3,081","4,549","3,081 to 4,549","21.9","17.7","26.1","17.7 to 26.1","4,086","1,335","1,048","1,622","1,048 to 1,622","32.7","25.7","39.7","25.7 to 39.7","2,940","890","682","1,098","682 to 1,098","30.3","23.2","37.3","23.2 to 37.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$30,778","$28,053","$33,503","$28,053 to $33,503"
"2004","12","12059","Holmes County (FL)","17,506","3,078","2,340","3,816","2,340 to 3,816","17.6","13.4","21.8","13.4 to 21.8","4,155","1,013","738","1,288","738 to 1,288","24.4","17.7","31.0","17.7 to 31.0","2,944","703","484","922","484 to 922","23.9","16.5","31.3","16.5 to 31.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$28,694","$26,902","$30,607","$26,902 to $30,607"
"2003","12","12059","Holmes County (FL)","17,199","3,215","2,464","3,966","2,464 to 3,966","18.7","14.3","23.1","14.3 to 23.1","4,142","1,163","864","1,462","864 to 1,462","28.1","20.9","35.3","20.9 to 35.3","2,981","819","581","1,057","581 to 1,057","27.5","19.5","35.5","19.5 to 35.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$27,773","$26,053","$29,608","$26,053 to $29,608"
"2002","12","12059","Holmes County (FL)","17,167","3,513","2,688","4,338","2,688 to 4,338","20.5","15.7","25.3","15.7 to 25.3","4,215","1,067","795","1,339","795 to 1,339","25.3","18.9","31.8","18.9 to 31.8","3,087","780","556","1,004","556 to 1,004","25.3","18.0","32.5","18.0 to 32.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$27,080","$25,257","$29,035","$25,257 to $29,035"
"2001","12","12059","Holmes County (FL)","16,994","3,636","2,808","4,463","2,808 to 4,463","21.4","16.5","26.3","16.5 to 26.3","4,202","1,177","887","1,468","887 to 1,468","28.0","21.1","34.9","21.1 to 34.9","3,083","817","588","1,046","588 to 1,046","26.5","19.1","33.9","19.1 to 33.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$26,950","$25,145","$28,885","$25,145 to $28,885"
"2000","12","12059","Holmes County (FL)","16,898","3,480","2,706","4,254","2,706 to 4,254","20.6","16.0","25.2","16.0 to 25.2","4,178","1,167","895","1,439","895 to 1,439","27.9","21.4","34.5","21.4 to 34.5","3,041","799","589","1,009","589 to 1,009","26.3","19.4","33.2","19.4 to 33.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$27,831","$25,802","$30,020","$25,802 to $30,020"
"1999","12","12059","Holmes County (FL)","16,913","3,537","2,711","4,363","2,711 to 4,363","20.9","16.0","25.8","16.0 to 25.8","4,212","1,214","907","1,520","907 to 1,520","28.8","21.5","36.1","21.5 to 36.1","3,062","908","655","1,161","655 to 1,161","29.7","21.4","37.9","21.4 to 37.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$26,781","$25,047","$28,635","$25,047 to $28,635"
"1998","12","12059","Holmes County (FL)","17,607","4,210","3,301","5,118","3,301 to 5,118","23.9","18.7","29.1","18.7 to 29.1","5,025","1,681","1,281","2,082","1,281 to 2,082","33.5","25.5","41.4","25.5 to 41.4","3,806","1,285","951","1,619","951 to 1,619","33.8","25.0","42.5","25.0 to 42.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$24,687","$21,581","$27,775","$21,581 to $27,775"
"1997","12","12059","Holmes County (FL)","NA","4,328","3,385","5,270","3,385 to 5,270","24.7","19.3","30.0","19.3 to 30.0","NA","1,682","1,288","2,076","1,288 to 2,076","33.6","25.8","41.5","25.8 to 41.5","NA","1,193","895","1,491","895 to 1,491","31.2","23.4","39.1","23.4 to 39.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$23,416","$20,289","$26,526","$20,289 to $26,526"
"1996","12","12059","Holmes County (FL)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1995","12","12059","Holmes County (FL)","NA","4,389","3,487","5,291","3,487 to 5,291","25.9","20.6","31.2","20.6 to 31.2","NA","1,747","1,380","2,115","1,380 to 2,115","36.3","28.6","43.9","28.6 to 43.9","NA","1,154","903","1,405","903 to 1,405","31.8","24.9","38.7","24.9 to 38.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$22,470","$19,350","$25,574","$19,350 to $25,574"
"1993","12","12059","Holmes County (FL)","NA","3,977","3,166","4,788","3,166 to 4,788","24.6","19.6","29.6","19.6 to 29.6","NA","1,501","1,184","1,819","1,184 to 1,819","33.0","26.0","39.9","26.0 to 39.9","NA","969","750","1,188","750 to 1,188","28.7","22.2","35.3","22.2 to 35.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$20,017","$17,731","$22,290","$17,731 to $22,290"
"1989","12","12059","Holmes County (FL)","NA","3,863","3,076","4,651","3,076 to 4,651","25.6","20.4","30.8","20.4 to 30.8","NA","1,434","1,123","1,745","1,123 to 1,745","35.7","28.0","43.5","28.0 to 43.5","NA","930","712","1,149","712 to 1,149","31.8","24.3","39.2","24.3 to 39.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$16,538","$14,224","$18,839","$14,224 to $18,839"
"2017","12","12061","Indian River County (FL)","153,052","16,249","12,840","19,658","12,840 to 19,658","10.6","8.4","12.8","8.4 to 12.8","24,693","4,506","3,314","5,698","3,314 to 5,698","18.2","13.4","23.0","13.4 to 23.0","18,303","3,181","2,280","4,082","2,280 to 4,082","17.4","12.5","22.3","12.5 to 22.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,797","$47,925","$55,669","$47,925 to $55,669"
"2016","12","12061","Indian River County (FL)","150,228","18,518","15,409","21,627","15,409 to 21,627","12.3","10.2","14.4","10.2 to 14.4","24,936","5,367","4,184","6,550","4,184 to 6,550","21.5","16.8","26.2","16.8 to 26.2","18,491","3,682","2,821","4,543","2,821 to 4,543","19.9","15.2","24.6","15.2 to 24.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$49,813","$47,517","$52,109","$47,517 to $52,109"
"2015","12","12061","Indian River County (FL)","146,570","19,051","15,726","22,376","15,726 to 22,376","13.0","10.7","15.3","10.7 to 15.3","24,812","5,586","4,479","6,693","4,479 to 6,693","22.5","18.0","27.0","18.0 to 27.0","18,461","3,958","3,098","4,818","3,098 to 4,818","21.4","16.7","26.1","16.7 to 26.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$49,887","$47,592","$52,182","$47,592 to $52,182"
"2014","12","12061","Indian River County (FL)","143,398","21,098","17,459","24,737","17,459 to 24,737","14.7","12.2","17.2","12.2 to 17.2","24,771","6,181","4,856","7,506","4,856 to 7,506","25.0","19.7","30.3","19.7 to 30.3","18,480","4,359","3,405","5,313","3,405 to 5,313","23.6","18.4","28.8","18.4 to 28.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,548","$44,032","$51,064","$44,032 to $51,064"
"2013","12","12061","Indian River County (FL)","140,588","19,777","16,558","22,996","16,558 to 22,996","14.1","11.8","16.4","11.8 to 16.4","24,908","6,009","4,831","7,187","4,831 to 7,187","24.1","19.4","28.8","19.4 to 28.8","18,566","4,240","3,315","5,165","3,315 to 5,165","22.8","17.8","27.8","17.8 to 27.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$44,326","$41,455","$47,197","$41,455 to $47,197"
"2012","12","12061","Indian River County (FL)","138,960","22,347","19,387","25,307","19,387 to 25,307","16.1","14.0","18.2","14.0 to 18.2","25,234","6,297","5,105","7,489","5,105 to 7,489","25.0","20.3","29.7","20.3 to 29.7","18,881","3,979","3,128","4,830","3,128 to 4,830","21.1","16.6","25.6","16.6 to 25.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$42,638","$39,873","$45,403","$39,873 to $45,403"
"2011","12","12061","Indian River County (FL)","137,110","19,006","16,192","21,820","16,192 to 21,820","13.9","11.8","16.0","11.8 to 16.0","25,206","5,870","4,698","7,042","4,698 to 7,042","23.3","18.7","27.9","18.7 to 27.9","18,803","4,185","3,342","5,028","3,342 to 5,028","22.3","17.8","26.8","17.8 to 26.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$42,053","$39,436","$44,670","$39,436 to $44,670"
"2010","12","12061","Indian River County (FL)","136,477","19,657","16,917","22,397","16,917 to 22,397","14.4","12.4","16.4","12.4 to 16.4","25,333","6,382","5,275","7,489","5,275 to 7,489","25.2","20.8","29.6","20.8 to 29.6","18,824","4,504","3,743","5,265","3,743 to 5,265","23.9","19.9","27.9","19.9 to 27.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,525","$44,781","$50,269","$44,781 to $50,269"
"2009","12","12061","Indian River County (FL)","133,119","18,406","15,896","20,916","15,896 to 20,916","13.8","11.9","15.7","11.9 to 15.7","25,462","5,563","4,648","6,479","4,648 to 6,479","21.8","18.3","25.4","18.3 to 25.4","18,266","3,288","2,635","3,941","2,635 to 3,941","18.0","14.4","21.6","14.4 to 21.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$43,685","$41,850","$45,519","$41,850 to $45,519"
"2008","12","12061","Indian River County (FL)","130,324","16,101","13,771","18,430","13,771 to 18,430","12.4","10.6","14.1","10.6 to 14.1","24,744","4,687","3,822","5,552","3,822 to 5,552","18.9","15.4","22.4","15.4 to 22.4","17,531","2,853","2,260","3,446","2,260 to 3,446","16.3","12.9","19.7","12.9 to 19.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$48,267","$45,393","$51,142","$45,393 to $51,142"
"2007","12","12061","Indian River County (FL)","129,776","12,603","10,555","14,651","10,555 to 14,651","9.7","8.1","11.3","8.1 to 11.3","24,593","3,967","3,170","4,763","3,170 to 4,763","16.1","12.9","19.4","12.9 to 19.4","17,471","2,580","2,012","3,148","2,012 to 3,148","14.8","11.5","18.0","11.5 to 18.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,563","$44,695","$50,430","$44,695 to $50,430"
"2006","12","12061","Indian River County (FL)","128,010","13,428","11,364","15,491","11,364 to 15,491","10.5","8.9","12.1","8.9 to 12.1","23,507","3,812","3,098","4,525","3,098 to 4,525","16.2","13.2","19.2","13.2 to 19.2","16,959","2,491","1,971","3,011","1,971 to 3,011","14.7","11.6","17.8","11.6 to 17.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,034","$42,565","$47,504","$42,565 to $47,504"
"2005","12","12061","Indian River County (FL)","125,789","14,712","12,694","16,730","12,694 to 16,730","11.7","10.1","13.3","10.1 to 13.3","23,566","4,165","3,375","4,955","3,375 to 4,955","17.7","14.3","21.0","14.3 to 21.0","17,201","2,786","2,212","3,360","2,212 to 3,360","16.2","12.9","19.5","12.9 to 19.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$44,450","$41,914","$46,986","$41,914 to $46,986"
"2004","12","12061","Indian River County (FL)","126,879","11,660","9,059","14,261","9,059 to 14,261","9.2","7.1","11.2","7.1 to 11.2","23,968","3,351","2,493","4,210","2,493 to 4,210","14.0","10.4","17.6","10.4 to 17.6","17,226","2,187","1,543","2,831","1,543 to 2,831","12.7","9.0","16.4","9.0 to 16.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$41,522","$39,061","$44,138","$39,061 to $44,138"
"2003","12","12061","Indian River County (FL)","122,374","12,276","9,557","14,995","9,557 to 14,995","10.0","7.8","12.3","7.8 to 12.3","23,333","3,860","2,892","4,828","2,892 to 4,828","16.5","12.4","20.7","12.4 to 20.7","17,137","2,576","1,845","3,307","1,845 to 3,307","15.0","10.8","19.3","10.8 to 19.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$40,356","$37,950","$42,914","$37,950 to $42,914"
"2002","12","12061","Indian River County (FL)","118,925","11,851","9,195","14,507","9,195 to 14,507","10.0","7.7","12.2","7.7 to 12.2","22,955","3,370","2,546","4,194","2,546 to 4,194","14.7","11.1","18.3","11.1 to 18.3","16,749","2,338","1,689","2,987","1,689 to 2,987","14.0","10.1","17.8","10.1 to 17.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,615","$37,000","$42,416","$37,000 to $42,416"
"2001","12","12061","Indian River County (FL)","116,116","11,906","9,330","14,481","9,330 to 14,481","10.3","8.0","12.5","8.0 to 12.5","22,462","3,784","2,898","4,671","2,898 to 4,671","16.8","12.9","20.8","12.9 to 20.8","16,386","2,510","1,831","3,189","1,831 to 3,189","15.3","11.2","19.5","11.2 to 19.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$39,359","$36,775","$42,126","$36,775 to $42,126"
"2000","12","12061","Indian River County (FL)","113,629","10,723","8,462","12,985","8,462 to 12,985","9.4","7.4","11.4","7.4 to 11.4","22,036","3,540","2,762","4,318","2,762 to 4,318","16.1","12.5","19.6","12.5 to 19.6","15,903","2,300","1,722","2,878","1,722 to 2,878","14.5","10.8","18.1","10.8 to 18.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$40,063","$37,201","$43,145","$37,201 to $43,145"
"1999","12","12061","Indian River County (FL)","111,597","11,116","8,635","13,597","8,635 to 13,597","10.0","7.7","12.2","7.7 to 12.2","21,434","3,703","2,843","4,563","2,843 to 4,563","17.3","13.3","21.3","13.3 to 21.3","15,541","2,418","1,785","3,051","1,785 to 3,051","15.6","11.5","19.6","11.5 to 19.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,947","$35,585","$40,466","$35,585 to $40,466"
"1998","12","12061","Indian River County (FL)","99,771","11,263","8,923","13,604","8,923 to 13,604","11.3","8.9","13.6","8.9 to 13.6","20,210","4,294","3,286","5,302","3,286 to 5,302","21.2","16.3","26.2","16.3 to 26.2","14,562","2,863","2,122","3,604","2,122 to 3,604","19.7","14.6","24.8","14.6 to 24.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,398","$34,318","$40,461","$34,318 to $40,461"
"1997","12","12061","Indian River County (FL)","NA","11,106","8,772","13,440","8,772 to 13,440","11.2","8.9","13.6","8.9 to 13.6","NA","4,047","3,115","4,978","3,115 to 4,978","20.3","15.6","24.9","15.6 to 24.9","NA","2,674","2,013","3,335","2,013 to 3,335","18.4","13.9","23.0","13.9 to 23.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$35,895","$32,787","$38,986","$32,787 to $38,986"
"1996","12","12061","Indian River County (FL)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1995","12","12061","Indian River County (FL)","NA","10,701","8,567","12,834","8,567 to 12,834","11.0","8.8","13.1","8.8 to 13.1","NA","3,669","2,912","4,427","2,912 to 4,427","17.9","14.2","21.5","14.2 to 21.5","NA","2,246","1,767","2,725","1,767 to 2,725","15.3","12.0","18.5","12.0 to 18.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$33,667","$30,581","$36,736","$30,581 to $36,736"
"1993","12","12061","Indian River County (FL)","NA","10,960","8,775","13,145","8,775 to 13,145","11.5","9.2","13.8","9.2 to 13.8","NA","3,523","2,787","4,260","2,787 to 4,260","17.8","14.1","21.5","14.1 to 21.5","NA","2,134","1,655","2,612","1,655 to 2,612","15.3","11.9","18.8","11.9 to 18.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$29,580","$27,308","$31,840","$27,308 to $31,840"
"1989","12","12061","Indian River County (FL)","NA","7,600","6,088","9,113","6,088 to 9,113","8.4","6.8","10.1","6.8 to 10.1","NA","2,289","1,813","2,765","1,813 to 2,765","13.3","10.5","16.1","10.5 to 16.1","NA","1,445","1,121","1,770","1,121 to 1,770","12.0","9.3","14.7","9.3 to 14.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$26,974","$24,654","$29,281","$24,654 to $29,281"
"2017","12","12063","Jackson County (FL)","40,419","7,264","5,523","9,005","5,523 to 9,005","18.0","13.7","22.3","13.7 to 22.3","8,822","2,117","1,528","2,706","1,528 to 2,706","24.0","17.3","30.7","17.3 to 30.7","6,397","1,565","1,118","2,012","1,118 to 2,012","24.5","17.5","31.5","17.5 to 31.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$41,524","$37,686","$45,362","$37,686 to $45,362"
"2016","12","12063","Jackson County (FL)","40,032","9,045","7,613","10,477","7,613 to 10,477","22.6","19.0","26.2","19.0 to 26.2","8,770","2,708","2,231","3,185","2,231 to 3,185","30.9","25.5","36.3","25.5 to 36.3","6,337","1,587","1,172","2,002","1,172 to 2,002","25.0","18.5","31.5","18.5 to 31.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,358","$34,492","$40,224","$34,492 to $40,224"
"2015","12","12063","Jackson County (FL)","40,175","9,032","7,550","10,514","7,550 to 10,514","22.5","18.8","26.2","18.8 to 26.2","8,827","2,803","2,313","3,293","2,313 to 3,293","31.8","26.2","37.4","26.2 to 37.4","6,433","1,852","1,456","2,248","1,456 to 2,248","28.8","22.7","34.9","22.7 to 34.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$36,751","$33,341","$40,161","$33,341 to $40,161"
"2014","12","12063","Jackson County (FL)","40,249","9,787","8,148","11,426","8,148 to 11,426","24.3","20.2","28.4","20.2 to 28.4","8,866","2,812","2,250","3,374","2,250 to 3,374","31.7","25.4","38.0","25.4 to 38.0","6,487","1,928","1,500","2,356","1,500 to 2,356","29.7","23.1","36.3","23.1 to 36.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$36,876","$33,612","$40,140","$33,612 to $40,140"
"2013","12","12063","Jackson County (FL)","40,424","10,650","9,036","12,264","9,036 to 12,264","26.3","22.3","30.3","22.3 to 30.3","8,861","3,373","2,890","3,856","2,890 to 3,856","38.1","32.7","43.5","32.7 to 43.5","6,476","2,327","1,951","2,703","1,951 to 2,703","35.9","30.1","41.7","30.1 to 41.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$36,332","$33,708","$38,956","$33,708 to $38,956"
"2012","12","12063","Jackson County (FL)","40,491","8,680","7,072","10,288","7,072 to 10,288","21.4","17.4","25.4","17.4 to 25.4","9,158","2,692","2,144","3,240","2,144 to 3,240","29.4","23.4","35.4","23.4 to 35.4","6,705","1,768","1,386","2,150","1,386 to 2,150","26.4","20.7","32.1","20.7 to 32.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$34,978","$31,959","$37,997","$31,959 to $37,997"
"2011","12","12063","Jackson County (FL)","41,179","8,442","6,766","10,118","6,766 to 10,118","20.5","16.4","24.6","16.4 to 24.6","9,386","2,684","2,074","3,294","2,074 to 3,294","28.6","22.1","35.1","22.1 to 35.1","6,831","1,769","1,322","2,216","1,322 to 2,216","25.9","19.4","32.4","19.4 to 32.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$35,193","$32,397","$37,989","$32,397 to $37,989"
"2010","12","12063","Jackson County (FL)","41,582","7,910","6,163","9,657","6,163 to 9,657","19.0","14.8","23.2","14.8 to 23.2","9,571","2,580","1,950","3,210","1,950 to 3,210","27.0","20.4","33.6","20.4 to 33.6","6,967","1,740","1,314","2,166","1,314 to 2,166","25.0","18.9","31.1","18.9 to 31.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,351","$34,201","$40,501","$34,201 to $40,501"
"2009","12","12063","Jackson County (FL)","42,714","9,412","7,436","11,388","7,436 to 11,388","22.0","17.4","26.7","17.4 to 26.7","10,038","2,651","2,064","3,237","2,064 to 3,237","26.4","20.6","32.2","20.6 to 32.2","7,104","1,759","1,355","2,163","1,355 to 2,163","24.8","19.1","30.4","19.1 to 30.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$35,968","$33,746","$38,189","$33,746 to $38,189"
"2008","12","12063","Jackson County (FL)","42,678","8,114","6,557","9,671","6,557 to 9,671","19.0","15.4","22.7","15.4 to 22.7","9,717","2,255","1,782","2,728","1,782 to 2,728","23.2","18.3","28.1","18.3 to 28.1","6,847","1,421","1,102","1,740","1,102 to 1,740","20.8","16.1","25.4","16.1 to 25.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$37,707","$34,545","$40,869","$34,545 to $40,869"
"2007","12","12063","Jackson County (FL)","42,611","11,646","10,066","13,226","10,066 to 13,226","27.3","23.6","31.0","23.6 to 31.0","9,743","2,266","1,755","2,778","1,755 to 2,778","23.3","18.0","28.5","18.0 to 28.5","6,865","1,455","1,095","1,815","1,095 to 1,815","21.2","16.0","26.4","16.0 to 26.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$35,897","$32,595","$39,199","$32,595 to $39,199"
"2006","12","12063","Jackson County (FL)","42,436","8,114","6,686","9,542","6,686 to 9,542","19.1","15.8","22.5","15.8 to 22.5","9,804","2,345","1,885","2,805","1,885 to 2,805","23.9","19.2","28.6","19.2 to 28.6","6,968","1,567","1,232","1,902","1,232 to 1,902","22.5","17.7","27.3","17.7 to 27.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$32,879","$30,690","$35,067","$30,690 to $35,067"
"2005","12","12063","Jackson County (FL)","41,783","7,045","5,982","8,108","5,982 to 8,108","16.9","14.3","19.4","14.3 to 19.4","10,015","2,469","1,973","2,965","1,973 to 2,965","24.7","19.7","29.6","19.7 to 29.6","7,225","1,635","1,294","1,976","1,294 to 1,976","22.6","17.9","27.3","17.9 to 27.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$32,723","$30,598","$34,848","$30,598 to $34,848"
"2004","12","12063","Jackson County (FL)","42,248","6,647","5,064","8,230","5,064 to 8,230","15.7","12.0","19.5","12.0 to 19.5","10,202","2,107","1,548","2,665","1,548 to 2,665","20.6","15.2","26.1","15.2 to 26.1","7,239","1,401","974","1,828","974 to 1,828","19.4","13.5","25.2","13.5 to 25.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$31,022","$29,076","$33,099","$29,076 to $33,099"
"2003","12","12063","Jackson County (FL)","41,419","6,729","5,159","8,300","5,159 to 8,300","16.2","12.5","20.0","12.5 to 20.0","10,134","2,278","1,699","2,857","1,699 to 2,857","22.5","16.8","28.2","16.8 to 28.2","7,216","1,580","1,127","2,033","1,127 to 2,033","21.9","15.6","28.2","15.6 to 28.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$29,951","$28,083","$31,943","$28,083 to $31,943"
"2002","12","12063","Jackson County (FL)","40,834","6,956","5,336","8,576","5,336 to 8,576","17.0","13.1","21.0","13.1 to 21.0","9,981","1,992","1,492","2,491","1,492 to 2,491","20.0","15.0","25.0","15.0 to 25.0","7,096","1,409","1,011","1,807","1,011 to 1,807","19.9","14.3","25.5","14.3 to 25.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$28,947","$26,991","$31,045","$26,991 to $31,045"
"2001","12","12063","Jackson County (FL)","40,824","7,291","5,658","8,924","5,658 to 8,924","17.9","13.9","21.9","13.9 to 21.9","10,041","2,347","1,788","2,906","1,788 to 2,906","23.4","17.8","28.9","17.8 to 28.9","7,179","1,578","1,147","2,009","1,147 to 2,009","22.0","16.0","28.0","16.0 to 28.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$28,694","$26,765","$30,762","$26,765 to $30,762"
